Campaign_ID,Target_Audience,Campaign_Goal,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,Company
567173,All Ages,Increase Sales,15 Days,Facebook,0.06,$500.00,1.08,New York,French,503,3010,6,Food,28/11/2022,Feast Flavors
637528,Women 45-60,Product Launch,15 Days,Pinterest,0.03,$500.00,0.319957602,Las Vegas,Spanish,295,1944,1,Fashion,09/10/2022,Fiber Fashion
227507,Men 35-44,Increase Sales,15 Days,Pinterest,0.04,$500.00,0.936635662,New York,Spanish,295,1944,1,Fashion,17/06/2022,Attire Artistry
328643,Women 45-60,Increase Sales,15 Days,Facebook,0.04,$500.00,1.1,Los Angeles,Spanish,504,3012,3,Technology,29/03/2022,Quantum Quirks
181806,Men 25-34,Brand Awareness,15 Days,Pinterest,0.07,$500.00,0.675664657,Austin,Spanish,296,1944,1,Food,31/08/2022,Savor Street
349225,Men 18-24,Increase Sales,15 Days,Twitter,0.08,$500.00,5.31,New York,French,504,3012,5,Health,13/08/2022,Fitness Front
712876,Men 18-24,Increase Sales,15 Days,Twitter,0.04,$500.00,2.77,New York,Spanish,504,3013,5,Technology,19/09/2022,Quantum Quirks
699436,Women 18-24,Product Launch,15 Days,Instagram,0.06,$500.00,0.62,New York,Spanish,504,3013,8,Food,11/07/2022,Culinary Quest
265261,Women 18-24,Market Expansion,15 Days,Instagram,0.11,$500.00,3.66,New York,French,504,3014,7,Home,31/05/2022,Hearth Harmony
709511,Men 25-34,Increase Sales,15 Days,Instagram,0.07,$500.00,0.98,Miami,Spanish,504,3014,8,Fashion,03/04/2022,Silk & Style
593946,Men 25-34,Market Expansion,15 Days,Twitter,0.12,$500.00,3.28,Los Angeles,English,505,3014,1,Food,08/12/2022,Palate Paradise
286444,Women 45-60,Market Expansion,15 Days,Instagram,0.15,$500.00,4.73,Las Vegas,Spanish,505,3015,6,Technology,27/08/2022,NexGen Nerds
558829,Men 35-44,Brand Awareness,15 Days,Twitter,0.04,$500.00,3.11,Austin,Spanish,505,3015,2,Home,03/05/2022,Living Luxe
166912,Women 45-60,Increase Sales,15 Days,Instagram,0.11,$500.00,5.2,Las Vegas,Spanish,505,3015,3,Food,21/05/2022,Gastronomy Guild
510439,Women 25-34,Increase Sales,15 Days,Pinterest,0.06,$500.00,0.811512577,Las Vegas,French,296,1947,1,Fashion,11/06/2022,Trend Tailors
617513,Men 18-24,Brand Awareness,15 Days,Facebook,0.1,$500.00,4.59,Miami,French,505,3016,5,Health,13/12/2022,Fitness Front
517983,Men 45-60,Market Expansion,15 Days,Instagram,0.14,$500.00,1.73,Miami,French,505,3017,9,Health,13/06/2022,Wellness Waves
211811,Men 45-60,Product Launch,15 Days,Pinterest,0.03,$500.00,0.909823572,New York,English,296,1947,1,Health,13/12/2022,Fitness Front
793457,Women 45-60,Market Expansion,15 Days,Facebook,0.14,$500.00,5.8,Los Angeles,English,506,3017,1,Technology,24/10/2022,Tech Titans
353730,Men 45-60,Product Launch,15 Days,Twitter,0.15,$500.00,2.14,Austin,Spanish,506,3018,4,Home,16/06/2022,Dwell Delight
412130,Men 35-44,Market Expansion,15 Days,Pinterest,0.09,$500.00,0.77933807,Austin,English,297,1948,1,Health,13/11/2022,Vigor Valley
470283,Men 35-44,Increase Sales,15 Days,Instagram,0.08,$500.00,5.39,Los Angeles,English,506,3019,9,Technology,11/01/2022,Giga Geeks
348595,Women 35-44,Product Launch,15 Days,Instagram,0.07,$500.00,3.22,Austin,Spanish,506,3019,10,Home,01/04/2022,Dwell Delight
290886,Men 18-24,Brand Awareness,15 Days,Facebook,0.15,$500.00,6.58,Los Angeles,Spanish,506,3019,3,Fashion,17/05/2022,Runway Rebels
781634,Men 35-44,Increase Sales,15 Days,Instagram,0.03,$500.00,2.16,Miami,English,506,3020,8,Fashion,08/10/2022,Glam Garments
610660,Men 25-34,Market Expansion,15 Days,Twitter,0.03,$500.00,4.99,Las Vegas,French,506,3020,6,Home,10/07/2022,Nest Neat
431414,All Ages,Increase Sales,15 Days,Instagram,0.11,$500.00,6.66,Miami,French,507,3021,9,Home,25/03/2022,Domestic Dream
736853,Women 25-34,Product Launch,15 Days,Twitter,0.08,$500.00,4.26,Miami,Spanish,507,3021,6,Technology,09/09/2022,Giga Geeks
634392,Men 18-24,Increase Sales,15 Days,Pinterest,0.13,$500.00,0.825812358,Austin,English,297,1950,1,Fashion,06/07/2022,Mode Maven
740168,All Ages,Product Launch,15 Days,Facebook,0.13,$500.00,5.46,Los Angeles,English,507,3022,7,Health,19/06/2022,Elixir Essence
637362,Women 35-44,Brand Awareness,15 Days,Facebook,0.03,$500.00,4.35,New York,English,507,3022,4,Food,28/05/2022,Dine Divine
115987,Women 25-34,Brand Awareness,15 Days,Instagram,0.07,$500.00,3.8,New York,Spanish,507,3023,6,Health,17/06/2022,Vigor Valley
917692,Men 45-60,Increase Sales,15 Days,Facebook,0.04,$500.00,7.76,Austin,English,507,3023,1,Fashion,30/01/2022,Glam Garments
737478,Women 45-60,Increase Sales,15 Days,Instagram,0.09,$500.00,1.67,Las Vegas,French,508,3023,8,Home,08/11/2022,Living Luxe
504887,Men 45-60,Increase Sales,15 Days,Pinterest,0.02,$500.00,0.339619801,Austin,French,298,1952,1,Food,06/04/2022,Palate Paradise
866583,All Ages,Market Expansion,15 Days,Pinterest,0.08,$500.00,0.600590806,Austin,English,298,1952,1,Technology,23/10/2022,Tech Titans
877484,Women 45-60,Market Expansion,15 Days,Facebook,0.08,$500.00,6.99,Miami,English,508,3024,8,Technology,29/07/2022,Giga Geeks
297945,Women 25-34,Product Launch,15 Days,Facebook,0.15,$500.00,2.36,Austin,English,508,3025,10,Technology,28/05/2022,Giga Geeks
172917,Men 35-44,Product Launch,15 Days,Facebook,0.03,$500.00,3.69,Austin,English,508,3025,10,Technology,22/02/2022,NexGen Nerds
895264,Women 18-24,Increase Sales,15 Days,Twitter,0.08,$500.00,0.72,Las Vegas,French,508,3026,9,Technology,22/08/2022,Gadget Giants
479934,Men 18-24,Market Expansion,15 Days,Twitter,0.05,$500.00,4,New York,English,508,3026,6,Fashion,30/12/2022,Mode Maven
617071,Women 35-44,Product Launch,15 Days,Pinterest,0.14,$500.00,0.355707055,Las Vegas,Spanish,298,1953,1,Fashion,29/09/2022,Glam Garments
191099,Women 35-44,Increase Sales,15 Days,Twitter,0.07,$500.00,3.08,New York,French,509,3027,6,Fashion,04/08/2022,Fiber Fashion
254049,Women 18-24,Product Launch,15 Days,Twitter,0.1,$500.00,5.44,Miami,Spanish,509,3027,8,Technology,29/10/2022,Cyber Circuit
531214,Women 25-34,Product Launch,15 Days,Facebook,0.12,$500.00,4.93,Los Angeles,Spanish,509,3028,4,Health,17/12/2022,Aura Align
834091,Women 35-44,Brand Awareness,15 Days,Facebook,0.08,$500.00,4.4,Austin,Spanish,509,3028,4,Health,15/06/2022,Wellness Waves
302929,All Ages,Increase Sales,15 Days,Twitter,0.14,$500.00,0.89,Miami,English,509,3028,9,Food,23/09/2022,Savor Street
232773,Women 25-34,Market Expansion,15 Days,Pinterest,0.02,$500.00,0.243096279,New York,French,298,1955,1,Fashion,28/05/2022,Chic Couture
442023,Women 18-24,Increase Sales,15 Days,Facebook,0.12,$500.00,5.37,Miami,French,510,3029,8,Home,22/10/2022,Hearth Harmony
532831,Women 25-34,Increase Sales,15 Days,Facebook,0.02,$500.00,2.69,Austin,French,510,3030,6,Health,29/08/2022,Aura Align
669494,Men 25-34,Increase Sales,15 Days,Instagram,0.03,$500.00,7.98,Los Angeles,Spanish,510,3030,1,Fashion,26/05/2022,Fiber Fashion
559035,Men 35-44,Brand Awareness,15 Days,Instagram,0.11,$500.00,0.43,Miami,Spanish,510,3030,10,Fashion,12/09/2022,Fiber Fashion
160091,Women 45-60,Product Launch,15 Days,Instagram,0.09,$500.00,1.02,Austin,Spanish,510,3031,5,Technology,12/03/2022,Silicon Saga
114654,Women 18-24,Market Expansion,15 Days,Twitter,0.11,$500.00,0.89,Las Vegas,Spanish,510,3031,5,Health,06/02/2022,Vital Vigor
606516,Women 35-44,Market Expansion,15 Days,Facebook,0.06,$500.00,0.91,Austin,Spanish,510,3031,3,Health,02/11/2022,Vital Vigor
775214,Women 45-60,Increase Sales,15 Days,Twitter,0.13,$500.00,2.23,Miami,French,510,3032,8,Food,09/10/2022,Gourmet Grove
661549,Men 25-34,Increase Sales,15 Days,Facebook,0.03,$500.00,2.7,Austin,Spanish,511,3032,3,Technology,13/03/2022,Innovate Infinity
317049,Men 35-44,Increase Sales,15 Days,Instagram,0.04,$500.00,2.23,Austin,Spanish,511,3033,9,Home,30/08/2022,Homely Haven
546620,Men 45-60,Brand Awareness,15 Days,Pinterest,0.05,$500.00,0.477255194,Miami,French,300,1958,1,Technology,25/12/2022,NexGen Nerds
173426,Women 18-24,Brand Awareness,15 Days,Pinterest,0.05,$500.00,0.336044856,Las Vegas,English,300,1958,1,Food,20/10/2022,Savor Street
312206,All Ages,Increase Sales,15 Days,Pinterest,0.09,$500.00,0.389669035,Los Angeles,Spanish,300,1958,1,Technology,14/11/2022,NexGen Nerds
846672,All Ages,Brand Awareness,15 Days,Twitter,0.05,$500.00,3.4,Las Vegas,Spanish,511,3034,2,Health,15/07/2022,Heal Hub
811182,Men 18-24,Product Launch,15 Days,Twitter,0.05,$500.00,6.07,Los Angeles,English,511,3035,4,Food,19/05/2022,Bistro Bliss
784438,Women 35-44,Product Launch,15 Days,Facebook,0.14,$500.00,0.75,Miami,French,511,3035,1,Food,15/11/2022,Epicurean Edge
771264,Men 25-34,Increase Sales,15 Days,Twitter,0.07,$500.00,3.95,Las Vegas,Spanish,512,3035,8,Food,19/04/2022,Nosh Nirvana
145643,Women 35-44,Brand Awareness,15 Days,Twitter,0.13,$500.00,7.82,Las Vegas,Spanish,512,3036,7,Health,14/07/2022,Aura Align
712060,Men 35-44,Product Launch,15 Days,Instagram,0.14,$500.00,0.2,Austin,Spanish,512,3036,10,Home,04/05/2022,Cozy Corners
894814,Women 35-44,Brand Awareness,15 Days,Pinterest,0.11,$500.00,1.14576996,Las Vegas,French,300,1960,1,Home,23/12/2022,Space Spruce
453107,Women 18-24,Market Expansion,15 Days,Pinterest,0.11,$500.00,0.974172587,Los Angeles,English,300,1960,1,Fashion,25/01/2022,Runway Rebels
958468,Men 18-24,Product Launch,15 Days,Instagram,0.04,$500.00,7.04,New York,Spanish,512,3037,6,Fashion,23/10/2022,Chic Couture
810373,Women 25-34,Increase Sales,15 Days,Instagram,0.15,$500.00,5.9,Las Vegas,Spanish,512,3038,3,Health,22/05/2022,Elixir Essence
138083,Men 45-60,Product Launch,15 Days,Instagram,0.14,$500.00,5.07,Las Vegas,English,513,3038,5,Fashion,23/09/2022,Mode Maven
985678,Women 45-60,Increase Sales,15 Days,Facebook,0.03,$500.00,7.24,Miami,Spanish,513,3039,10,Food,27/09/2022,Gourmet Grove
993444,Men 25-34,Product Launch,15 Days,Facebook,0.14,$500.00,5.24,Los Angeles,French,513,3039,4,Health,17/08/2022,Elixir Essence
102978,Men 25-34,Increase Sales,15 Days,Facebook,0.1,$500.00,7.04,Los Angeles,Spanish,513,3039,9,Technology,24/11/2022,Gadget Giants
829375,Men 25-34,Product Launch,15 Days,Twitter,0.13,$500.00,6.83,New York,Spanish,513,3040,5,Technology,30/05/2022,Innovate Infinity
854343,Men 45-60,Increase Sales,15 Days,Facebook,0.13,$500.00,5.37,Los Angeles,English,513,3040,6,Technology,11/03/2022,Silicon Saga
407410,Men 35-44,Product Launch,15 Days,Pinterest,0.08,$500.00,0.405756289,New York,English,301,1962,1,Fashion,30/04/2022,Vogue Visions
612037,Women 18-24,Product Launch,15 Days,Pinterest,0.08,$500.00,0.5290919,Los Angeles,English,301,1963,1,Home,08/03/2022,Cozy Corners
220486,Women 45-60,Increase Sales,15 Days,Pinterest,0.14,$500.00,0.46116794,New York,Spanish,301,1963,1,Home,09/06/2022,Hearth Harmony
780655,Men 25-34,Market Expansion,15 Days,Instagram,0.04,$500.00,2.27,Los Angeles,French,514,3042,5,Fashion,12/04/2022,Chic Couture
491063,Women 45-60,Product Launch,15 Days,Instagram,0.15,$500.00,1.15,Los Angeles,English,514,3042,1,Food,08/12/2022,Epicurean Edge
539974,Women 25-34,Increase Sales,15 Days,Facebook,0.05,$500.00,2.82,Miami,Spanish,514,3042,1,Health,25/02/2022,Well Wish
797385,Women 25-34,Product Launch,15 Days,Pinterest,0.14,$500.00,1.183306885,Los Angeles,French,301,1964,1,Home,28/04/2022,Hearth Harmony
815079,Men 45-60,Product Launch,15 Days,Pinterest,0.1,$500.00,0.922335881,Las Vegas,Spanish,301,1964,1,Food,29/07/2022,Dine Divine
972309,Men 18-24,Brand Awareness,15 Days,Twitter,0.06,$500.00,3.09,Austin,Spanish,514,3044,2,Health,22/06/2022,Fitness Front
490329,Women 25-34,Market Expansion,15 Days,Instagram,0.11,$500.00,4.92,Miami,Spanish,515,3044,2,Health,14/12/2022,Vital Vigor
115136,Men 45-60,Product Launch,15 Days,Pinterest,0.05,$500.00,1.279830408,Miami,Spanish,302,1965,1,Fashion,21/07/2022,Attire Artistry
870369,Men 45-60,Market Expansion,15 Days,Pinterest,0.13,$500.00,0.107248358,Miami,Spanish,302,1965,1,Fashion,27/08/2022,Attire Artistry
848600,Men 45-60,Market Expansion,15 Days,Twitter,0.05,$500.00,6.26,Miami,Spanish,515,3045,4,Health,10/10/2022,Pulse Point
762177,Women 35-44,Increase Sales,15 Days,Twitter,0.12,$500.00,6,Miami,English,515,3046,6,Home,26/04/2022,Nest Neat
756481,Women 18-24,Brand Awareness,15 Days,Facebook,0.02,$500.00,4.74,Los Angeles,Spanish,515,3046,8,Health,16/02/2022,Fitness Front
275734,Women 18-24,Market Expansion,15 Days,Instagram,0.13,$500.00,1.74,Las Vegas,Spanish,515,3046,9,Fashion,16/03/2022,Runway Rebels
219913,Women 45-60,Product Launch,15 Days,Instagram,0.05,$500.00,6.71,Miami,English,515,3047,2,Technology,22/09/2022,Pixel Pioneers
931599,Women 25-34,Market Expansion,15 Days,Facebook,0.08,$500.00,1.33,Los Angeles,French,516,3047,5,Fashion,07/10/2022,Attire Artistry
503164,Women 45-60,Product Launch,15 Days,Pinterest,0.02,$500.00,0.350344637,New York,English,303,1967,1,Technology,01/05/2022,Innovate Infinity
247762,Men 18-24,Market Expansion,15 Days,Pinterest,0.07,$500.00,0.961660279,New York,Spanish,303,1967,1,Food,28/07/2022,Palate Paradise
260873,Women 45-60,Increase Sales,15 Days,Facebook,0.07,$500.00,7.62,Austin,English,516,3048,8,Food,22/11/2022,Epicurean Edge
175382,Women 25-34,Market Expansion,15 Days,Facebook,0.06,$500.00,0.94,Austin,French,516,3049,5,Food,13/07/2022,Savor Street
825877,Men 45-60,Brand Awareness,15 Days,Instagram,0.07,$500.00,5.68,Los Angeles,English,516,3049,6,Health,15/07/2022,Vital Vigor
832228,Women 18-24,Brand Awareness,15 Days,Twitter,0.04,$500.00,1.3,New York,Spanish,516,3049,7,Health,13/12/2022,Pulse Point
294202,Women 45-60,Product Launch,15 Days,Twitter,0.02,$500.00,6.84,Los Angeles,English,516,3050,4,Fashion,14/05/2022,Chic Couture
774571,Men 45-60,Increase Sales,15 Days,Instagram,0.06,$500.00,2.44,Las Vegas,Spanish,517,3050,1,Home,18/06/2022,Living Luxe
923974,All Ages,Product Launch,15 Days,Instagram,0.15,$500.00,0.53,Austin,Spanish,517,3051,1,Technology,31/12/2022,NexGen Nerds
284948,Women 45-60,Market Expansion,15 Days,Instagram,0.03,$500.00,4.96,Las Vegas,English,517,3051,7,Health,28/09/2022,Well Wish
462803,Men 35-44,Market Expansion,15 Days,Facebook,0.09,$500.00,5.73,Austin,French,517,3051,10,Technology,11/07/2022,Cyber Circuit
478102,Women 25-34,Increase Sales,15 Days,Twitter,0.08,$500.00,1.4,New York,English,517,3052,3,Food,18/04/2022,Culinary Quest
831723,Women 18-24,Product Launch,15 Days,Twitter,0.1,$500.00,0.94,Austin,English,517,3052,10,Home,02/11/2022,Cozy Corners
388358,Men 45-60,Market Expansion,15 Days,Twitter,0.07,$500.00,2.73,Los Angeles,English,517,3053,6,Fashion,03/01/2022,Glam Garments
616108,All Ages,Increase Sales,15 Days,Twitter,0.02,$500.00,1.48,Los Angeles,English,518,3053,10,Technology,26/02/2022,Code Crafters
706750,Women 45-60,Increase Sales,15 Days,Facebook,0.06,$500.00,2.04,Los Angeles,French,518,3053,4,Fashion,10/12/2022,Runway Rebels
477733,All Ages,Product Launch,15 Days,Facebook,0.08,$500.00,0.53,Austin,English,518,3054,1,Food,13/01/2022,Feast Flavors
775358,Men 25-34,Brand Awareness,15 Days,Instagram,0.06,$500.00,2.65,Los Angeles,English,518,3054,7,Food,08/10/2022,Palate Paradise
419281,Women 18-24,Product Launch,15 Days,Facebook,0.1,$500.00,3.43,Austin,English,518,3054,7,Fashion,02/09/2022,Glam Garments
608584,Men 45-60,Market Expansion,15 Days,Instagram,0.03,$500.00,5.6,Las Vegas,French,518,3055,10,Technology,08/03/2022,Giga Geeks
446052,Men 18-24,Increase Sales,15 Days,Twitter,0.02,$500.00,6.72,Los Angeles,English,518,3055,5,Home,15/01/2022,Decor Dreams
857356,Women 18-24,Increase Sales,15 Days,Twitter,0.07,$500.00,7.29,Los Angeles,Spanish,518,3056,7,Technology,09/03/2022,Tech Titans
386310,Men 18-24,Brand Awareness,15 Days,Instagram,0.15,$500.00,4.75,Las Vegas,English,519,3056,2,Food,11/06/2022,Bistro Bliss
871186,Women 18-24,Market Expansion,15 Days,Instagram,0.06,$500.00,7.92,Miami,English,519,3056,4,Fashion,29/06/2022,Mode Maven
933705,Women 45-60,Market Expansion,15 Days,Facebook,0.1,$500.00,0.43,Austin,Spanish,519,3057,6,Food,05/10/2022,Dine Divine
880644,Men 45-60,Increase Sales,15 Days,Facebook,0.05,$500.00,2.86,Los Angeles,English,519,3057,2,Fashion,02/04/2022,Runway Rebels
791902,Women 18-24,Market Expansion,15 Days,Pinterest,0.1,$500.00,0.282420677,Las Vegas,English,304,1974,1,Technology,29/01/2022,NexGen Nerds
750700,All Ages,Market Expansion,15 Days,Facebook,0.14,$500.00,4.76,Austin,French,519,3058,8,Food,24/10/2022,Palate Paradise
519722,Women 18-24,Brand Awareness,15 Days,Instagram,0.02,$500.00,6.76,Austin,French,519,3058,9,Fashion,18/08/2022,Fiber Fashion
101251,All Ages,Increase Sales,15 Days,Instagram,0.02,$500.00,7.22,Austin,Spanish,520,3059,10,Food,25/03/2022,Feast Flavors
896749,Women 18-24,Market Expansion,15 Days,Facebook,0.11,$500.00,2.9,Los Angeles,Spanish,520,3059,6,Health,06/09/2022,Balance Beam
895611,Women 25-34,Brand Awareness,15 Days,Twitter,0.1,$500.00,4.67,Los Angeles,Spanish,520,3060,8,Technology,26/10/2022,NexGen Nerds
961993,Men 18-24,Brand Awareness,15 Days,Twitter,0.1,$500.00,1.38,Los Angeles,English,520,3060,10,Health,08/02/2022,Vigor Valley
718042,Women 25-34,Brand Awareness,15 Days,Twitter,0.03,$500.00,5.5,Las Vegas,French,520,3060,8,Technology,26/10/2022,Innovate Infinity
452273,Women 25-34,Product Launch,15 Days,Facebook,0.03,$500.00,1.01,Los Angeles,English,520,3061,2,Health,09/11/2022,Balance Beam
895219,Men 25-34,Product Launch,15 Days,Facebook,0.07,$500.00,7.17,Miami,English,520,3061,6,Home,29/07/2022,Homely Haven
697580,Women 35-44,Increase Sales,15 Days,Facebook,0.09,$500.00,2.14,New York,French,520,3062,10,Fashion,03/08/2022,Mode Maven
683515,Men 35-44,Brand Awareness,15 Days,Facebook,0.04,$500.00,6.28,Los Angeles,English,521,3062,9,Technology,05/01/2022,Cyber Circuit
476049,Men 25-34,Increase Sales,15 Days,Twitter,0.13,$500.00,7.81,Miami,Spanish,521,3062,2,Home,21/09/2022,Furnish Fine
424042,Men 45-60,Brand Awareness,15 Days,Twitter,0.07,$500.00,0.91,Las Vegas,Spanish,521,3063,9,Technology,05/03/2022,Tech Titans
863524,Men 35-44,Brand Awareness,15 Days,Twitter,0.06,$500.00,6.17,Los Angeles,French,521,3063,10,Food,30/10/2022,Gastronomy Guild
513257,Women 35-44,Increase Sales,15 Days,Instagram,0.04,$500.00,4.71,New York,Spanish,521,3063,7,Technology,03/02/2022,Silicon Saga
644032,Women 18-24,Market Expansion,15 Days,Pinterest,0.09,$500.00,0.200196935,Miami,French,305,1978,1,Technology,01/06/2022,Innovate Infinity
205984,Women 18-24,Market Expansion,15 Days,Instagram,0.14,$500.00,7.94,New York,Spanish,521,3064,10,Food,16/07/2022,Feast Flavors
527887,All Ages,Increase Sales,15 Days,Instagram,0.13,$500.00,5.91,Los Angeles,English,521,3065,9,Fashion,10/05/2022,Fiber Fashion
336500,Women 25-34,Increase Sales,15 Days,Twitter,0.02,$500.00,6.9,Las Vegas,French,522,3065,5,Health,02/10/2022,Aura Align
171698,Women 45-60,Brand Awareness,15 Days,Facebook,0.08,$500.00,2.94,Los Angeles,English,522,3065,6,Food,13/05/2022,Bistro Bliss
605161,Women 18-24,Brand Awareness,15 Days,Instagram,0.04,$500.00,7.37,Austin,Spanish,522,3066,2,Fashion,31/12/2022,Chic Couture
516274,Women 18-24,Product Launch,15 Days,Twitter,0.05,$500.00,4.95,Austin,French,522,3066,6,Health,04/11/2022,Fitness Front
213521,Women 18-24,Increase Sales,15 Days,Instagram,0.11,$500.00,3.26,Miami,French,522,3067,2,Health,11/11/2022,Heal Hub
823592,Men 35-44,Brand Awareness,15 Days,Twitter,0.12,$500.00,6.14,Miami,English,522,3067,3,Technology,21/01/2022,Pixel Pioneers
508275,Men 35-44,Product Launch,15 Days,Facebook,0.07,$500.00,6.42,Miami,Spanish,522,3067,2,Fashion,19/01/2022,Chic Couture
958604,Women 18-24,Market Expansion,15 Days,Facebook,0.1,$500.00,2.44,Las Vegas,Spanish,523,3068,2,Fashion,11/09/2022,Fiber Fashion
212032,Men 35-44,Increase Sales,15 Days,Twitter,0.07,$500.00,3.97,Austin,English,523,3068,9,Food,13/06/2022,Nosh Nirvana
706107,All Ages,Increase Sales,15 Days,Instagram,0.13,$500.00,1.54,Los Angeles,English,523,3069,2,Food,06/02/2022,Gourmet Grove
940198,Men 35-44,Increase Sales,15 Days,Twitter,0.11,$500.00,5.64,Las Vegas,Spanish,523,3069,10,Health,30/08/2022,Well Wish
463697,Men 45-60,Increase Sales,15 Days,Twitter,0.04,$500.00,5.97,Las Vegas,English,523,3069,8,Technology,27/09/2022,Giga Geeks
598215,Men 25-34,Brand Awareness,15 Days,Instagram,0.05,$500.00,5.27,Las Vegas,Spanish,523,3070,5,Technology,07/09/2022,Code Crafters
421276,Women 25-34,Product Launch,15 Days,Facebook,0.02,$500.00,0.37,New York,English,523,3070,2,Home,18/11/2022,Homely Haven
327582,All Ages,Increase Sales,15 Days,Instagram,0.02,$500.00,5.48,New York,Spanish,523,3070,3,Health,31/12/2022,Aura Align
874396,Women 45-60,Market Expansion,15 Days,Pinterest,0.14,$500.00,1.244080955,Las Vegas,English,307,1982,1,Home,13/06/2022,Cozy Corners
887601,Women 45-60,Increase Sales,15 Days,Instagram,0.04,$500.00,7.59,Austin,English,524,3071,6,Fashion,06/10/2022,Mode Maven
556331,Men 45-60,Market Expansion,15 Days,Instagram,0.1,$500.00,0.8,Los Angeles,English,524,3072,10,Food,27/03/2022,Bistro Bliss
